claiminternalnumber,claimcolour,treatmentgroup,accept_automatic,insurancetype,privatefinanced
3465,Green,4,1,property,0
3466,Yellow,0,1,auto,1
3467,Yellow,2,0,property,1
3468,Yellow,2,1,travel,0
3469,Yellow,2,1,travel,0
3470,Yellow,3,1,life,1
3471,Yellow,3,1,auto,1
3472,Yellow,2,1,travel,1
3473,Yellow,0,1,travel,0
3474,Yellow,1,1,auto,1
3475,Green,1,1,property,1
3476,Yellow,4,1,auto,1
3477,Green,2,1,property,1
3478,Red,4,1,property,0
3479,Green,3,1,travel,1
3480,Green,1,1,auto,1
3481,Yellow,3,1,property,1
3482,Yellow,0,1,property,1
3483,Yellow,1,1,travel,0
3484,Green,1,0,auto,1
3485,Green,0,1,property,1
3486,Green,3,1,auto,1
3487,Yellow,0,1,auto,1
3488,Yellow,2,0,auto,1
3489,Yellow,4,1,life,1
3490,Yellow,0,1,auto,1
3491,Yellow,2,1,auto,1
3492,Yellow,3,1,travel,1
3493,Yellow,1,1,property,1
3494,Yellow,3,1,travel,1
3495,Yellow,1,1,travel,0
3496,Green,3,1,travel,0
3497,Yellow,0,0,property,1
3498,Yellow,2,1,travel,0
3499,Green,3,1,property,1
3500,Green,3,1,life,1
3501,Red,1,1,travel,1
3502,Yellow,1,1,auto,1
3503,Yellow,3,1,property,1
3504,Yellow,1,1,travel,1
3505,Green,4,1,auto,1
3506,Yellow,3,1,auto,1
3507,Yellow,3,1,property,1
3508,Green,0,0,auto,1
3509,Yellow,3,1,travel,0
3510,Yellow,3,1,travel,0
3511,Yellow,3,1,auto,1
3512,Yellow,3,0,auto,1
3513,Yellow,4,1,auto,1
3514,Green,4,1,property,0
3515,Green,1,1,travel,1
3516,Yellow,4,1,travel,1
3517,Yellow,2,1,property,1
3518,Green,2,1,travel,1
3519,Yellow,3,1,travel,0
3520,Red,3,1,auto,1
3521,Red,1,1,life,1
3522,Yellow,0,1,auto,1
3523,Red,0,1,auto,1
3524,Yellow,4,0,auto,1
3525,Green,3,1,auto,1
3526,Yellow,2,1,travel,0
3527,Yellow,1,1,auto,1
3528,Yellow,3,1,life,1
3529,Yellow,4,1,auto,1
3530,Yellow,2,1,life,1
3531,Green,3,1,auto,1
3532,Yellow,2,1,auto,1
3533,Yellow,0,1,travel,0
3534,Green,1,1,property,1
3535,Green,4,1,property,1
3536,Green,2,1,property,1
3537,Yellow,2,1,property,1
3538,Yellow,3,1,auto,1
3539,Yellow,3,1,travel,1
3540,Green,0,1,auto,1
3541,Red,2,1,auto,1
3542,Yellow,1,1,life,1
3543,Green,3,1,auto,1
3544,Yellow,0,1,travel,1
3545,Green,1,1,auto,1
3546,Yellow,0,1,property,1
3547,Yellow,0,0,auto,1
3548,Yellow,2,1,property,1
3549,Yellow,3,1,travel,1
3550,Yellow,1,1,travel,1
3551,Green,0,1,property,1
3552,Green,1,1,auto,1
3553,Yellow,0,1,travel,1
3554,Yellow,4,1,auto,1
3555,Red,3,1,travel,1
3556,Yellow,1,1,property,1
3557,Yellow,2,1,property,0
3558,Yellow,4,1,auto,1
3559,Yellow,0,0,auto,1
3560,Green,3,1,auto,1
3561,Yellow,0,1,travel,1
3562,Yellow,1,1,travel,1
3563,Yellow,0,1,auto,0
3564,Yellow,0,1,travel,1
3565,Green,0,1,auto,1
3566,Green,2,1,property,0
3567,Yellow,1,1,travel,0
3568,Yellow,1,1,property,1
3569,Yellow,2,1,travel,1
3570,Red,2,0,travel,1
3571,Yellow,2,1,property,1
3572,Yellow,2,1,travel,1
3573,Yellow,3,1,travel,1
3574,Yellow,1,1,travel,0
3575,Yellow,0,1,auto,1
3576,Yellow,3,1,auto,0
3577,Yellow,1,1,life,1
3578,Green,3,1,property,0
3579,Yellow,1,1,property,1
3580,Green,3,1,life,1
3581,Yellow,2,1,life,1
3582,Yellow,4,1,property,1
3583,Yellow,4,1,auto,1
3584,Red,4,1,property,1
3585,Green,2,1,auto,1
3586,Green,3,1,life,1
3587,Yellow,2,1,life,1
3588,Yellow,3,1,auto,1
3589,Yellow,0,1,travel,1
3590,Yellow,2,1,auto,1
3591,Yellow,3,1,life,1
3592,Green,3,0,property,1
3593,Yellow,2,1,auto,1
3594,Yellow,0,1,auto,1
3595,Yellow,3,1,life,1
3596,Yellow,0,1,auto,1
3597,Green,4,1,auto,1
3598,Green,3,1,property,0
3599,Yellow,3,1,auto,0
3600,Yellow,2,1,property,1
3601,Green,3,1,auto,1
3602,Green,0,1,auto,1
3603,Green,3,1,auto,1
3604,Yellow,2,1,auto,1
3605,Yellow,3,1,travel,1
3606,Yellow,1,1,travel,1
3607,Green,3,1,property,1
3608,Green,4,1,property,0
3609,Yellow,3,1,auto,0
3610,Yellow,4,1,auto,1
3611,Red,2,1,travel,1
3612,Yellow,0,1,property,1
3613,Yellow,4,1,auto,1
3614,Yellow,2,1,travel,1
3615,Yellow,3,1,travel,1
3616,Green,3,1,travel,1
3617,Green,2,1,auto,1
3618,Yellow,1,1,auto,1
3619,Yellow,2,1,travel,0
3620,Yellow,1,1,auto,1
3621,Yellow,1,1,travel,1
3622,Yellow,3,1,life,1
3623,Yellow,0,1,property,1
3624,Red,3,1,auto,1
3625,Red,4,1,travel,1
3626,Yellow,4,1,auto,1
3627,Green,0,1,property,0
3628,Yellow,1,1,property,0
3629,Yellow,2,1,auto,1
3630,Yellow,2,1,property,1
3631,Yellow,0,1,travel,0
3632,Yellow,1,0,property,1
3633,Red,1,1,property,1
3634,Green,1,0,property,0
3635,Green,4,1,auto,1
3636,Yellow,0,1,auto,1
3637,Yellow,0,1,auto,1
3638,Yellow,1,1,travel,0
3639,Yellow,4,1,auto,1
3640,Yellow,0,0,property,1
3641,Green,4,1,property,1
3642,Yellow,2,0,auto,1
3643,Yellow,3,1,property,0
3644,Yellow,4,1,life,1
3645,Yellow,1,1,life,1
3646,Green,4,1,auto,1
3647,Yellow,4,1,travel,1
3648,Yellow,1,1,travel,0
3649,Green,0,1,auto,1
3650,Yellow,2,1,property,1
3651,Green,2,1,auto,1
3652,Yellow,4,0,auto,1
3653,Yellow,1,1,auto,1
3654,Green,2,1,auto,1
3655,Red,2,1,travel,0
3656,Green,4,1,auto,1
3657,Yellow,2,1,travel,1
3658,Yellow,4,1,auto,1
3659,Yellow,3,1,auto,1
3660,Yellow,4,1,life,1
3661,Green,0,1,life,1
3662,Green,0,1,life,1
3663,Red,3,1,travel,0
3664,Yellow,2,0,auto,1
3665,Yellow,3,1,auto,1
3666,Yellow,2,1,property,1
3667,Yellow,1,1,auto,1
3668,Yellow,1,1,travel,0
3669,Yellow,2,1,auto,1
3670,Yellow,4,1,life,1
3671,Green,2,1,property,0
3672,Yellow,2,1,auto,1
3673,Yellow,0,1,travel,1
3674,Green,0,1,auto,1
3675,Green,2,1,property,0
3676,Yellow,1,1,auto,1
3677,Yellow,1,1,auto,1
3678,Yellow,4,1,travel,1
3679,Yellow,1,1,auto,1
3680,Yellow,3,1,auto,1
3681,Yellow,4,1,auto,1
3682,Yellow,2,1,auto,1
3683,Yellow,2,1,travel,1
3684,Yellow,1,0,auto,1
3685,Red,4,1,travel,1
3686,Green,0,1,auto,1
3687,Green,0,1,auto,1
3688,Green,2,1,property,0
3689,Yellow,4,1,travel,1
3690,Yellow,4,1,auto,1
3691,Yellow,4,1,travel,1
3692,Red,1,1,travel,0
3693,Yellow,0,0,auto,1
3694,Yellow,3,0,auto,1
3695,Red,3,1,auto,1
3696,Yellow,4,1,auto,1
3697,Yellow,2,0,auto,1
3698,Red,4,0,travel,1
3699,Yellow,1,1,auto,1
3700,Green,2,1,auto,1
3701,Yellow,3,1,property,1
3702,Yellow,2,0,travel,0
3703,Green,4,1,property,0
3704,Yellow,0,1,auto,1
3705,Red,2,1,travel,1
3706,Green,2,1,auto,1
3707,Yellow,3,1,life,1
3708,Yellow,2,1,auto,1
3709,Yellow,0,1,travel,1
3710,Yellow,3,1,life,1
3711,Yellow,0,1,travel,0
3712,Yellow,0,1,life,1
3713,Green,3,1,auto,1
3714,Yellow,2,0,travel,1
3715,Yellow,2,1,auto,1
3716,Yellow,0,1,travel,0
3717,Yellow,1,1,auto,1
3718,Yellow,4,0,property,1
3719,Yellow,1,1,travel,1
3720,Green,4,1,auto,1
3721,Yellow,1,1,auto,1
3722,Yellow,0,1,travel,1
3723,Green,4,1,auto,1
3724,Yellow,4,0,travel,1
3725,Yellow,2,0,travel,0
3726,Yellow,1,0,property,1
3727,Yellow,1,1,property,1
3728,Yellow,0,1,property,1
3729,Yellow,0,0,auto,1
3730,Yellow,1,1,auto,1
3731,Green,2,1,property,1
3732,Yellow,4,1,auto,1
3733,Yellow,3,1,auto,1
3734,Yellow,2,1,property,1
3735,Green,3,1,property,0
3736,Yellow,3,1,auto,0
3737,Yellow,3,1,travel,0
3738,Yellow,2,1,auto,1
3739,Green,3,1,property,0
3740,Red,3,1,auto,1
3741,Yellow,3,1,auto,1
3742,Yellow,3,1,life,1
3743,Yellow,1,1,travel,1
3744,Green,4,1,property,1
3745,Yellow,3,1,auto,1
3746,Yellow,3,1,auto,1
3747,Yellow,0,1,auto,1
3748,Green,4,1,travel,1
3749,Red,3,1,property,1
3750,Yellow,2,1,life,1
3751,Green,4,0,auto,1
3752,Yellow,4,1,life,1
3753,Yellow,1,1,auto,1
3754,Green,0,1,auto,1
3755,Green,0,0,auto,1
3756,Green,2,0,property,1
3757,Yellow,1,1,auto,1
3758,Yellow,2,1,travel,0
3759,Yellow,4,1,travel,1
3760,Yellow,0,1,auto,0
3761,Yellow,3,1,travel,1
3762,Yellow,3,1,auto,1
3763,Green,4,1,property,0
3764,Green,1,1,property,1
3765,Green,1,1,auto,1
3766,Yellow,1,1,life,1
3767,Green,3,1,auto,1
3768,Yellow,1,1,auto,1
3769,Yellow,1,1,auto,1
3770,Green,4,1,life,1
3771,Green,0,1,auto,1
3772,Green,1,1,auto,1
3773,Yellow,3,1,auto,1
3774,Yellow,1,0,auto,1
3775,Yellow,2,1,auto,1
3776,Yellow,1,1,auto,1
3777,Yellow,2,1,travel,0
3778,Red,0,1,travel,1
3779,Red,0,1,auto,1
3780,Red,0,1,auto,1
3781,Yellow,3,1,auto,1
3782,Green,0,1,auto,1
3783,Yellow,1,1,auto,1
3784,Green,4,1,auto,1
3785,Yellow,3,1,life,1
3786,Yellow,4,1,life,1
3787,Yellow,3,1,life,1
3788,Yellow,1,1,property,1
3789,Yellow,2,0,auto,1
3790,Yellow,3,1,auto,1
3791,Yellow,1,1,auto,1
3792,Yellow,1,0,property,1
3793,Green,4,1,life,1
3794,Yellow,1,1,auto,1
3795,Yellow,3,1,property,0
3796,Yellow,4,0,auto,1
3797,Yellow,0,1,life,1
3798,Yellow,1,1,auto,1
3799,Yellow,2,0,auto,0
3800,Yellow,2,0,auto,0
3801,Yellow,0,0,auto,1
3802,Red,2,1,travel,1
3803,Yellow,2,0,auto,0
3804,Green,0,1,property,0
3805,Yellow,2,1,auto,1
3806,Yellow,2,1,travel,0
3807,Green,1,1,auto,1
3808,Yellow,2,1,travel,1
3809,Green,2,1,auto,1
3810,Green,3,0,property,0
3811,Yellow,4,0,auto,1
3812,Yellow,4,0,travel,1
3813,Yellow,2,1,property,1
3814,Yellow,4,1,property,1
3815,Red,4,1,travel,1
3816,Green,3,1,travel,1
3817,Yellow,1,1,auto,1
3818,Yellow,3,1,travel,1
3819,Yellow,2,1,auto,1
3820,Green,2,1,property,1
3821,Green,2,1,property,1
3822,Green,4,1,auto,1
3823,Red,2,1,travel,0
3824,Green,1,0,auto,1
3825,Yellow,2,1,auto,1
3826,Green,2,1,property,0
3827,Red,1,1,travel,1
3828,Yellow,0,0,auto,1
3829,Yellow,2,1,life,1
3830,Green,2,1,auto,1
3831,Yellow,4,1,auto,1
3832,Yellow,3,1,life,1
3833,Yellow,2,1,auto,1
3834,Yellow,3,1,life,1
3835,Yellow,3,1,auto,1
3836,Green,2,1,auto,1
3837,Green,0,1,auto,1
3838,Yellow,4,1,travel,1
3839,Yellow,4,1,property,1
3840,Yellow,3,1,auto,1
3841,Green,4,1,property,1
3842,Green,2,1,auto,1
3843,Green,2,1,auto,1
3844,Yellow,0,1,travel,1
3845,Green,3,1,auto,1
3846,Green,0,1,auto,1
3847,Green,4,1,property,0
3848,Yellow,4,0,auto,1
3849,Yellow,0,1,travel,1
3850,Yellow,0,1,auto,1
3851,Red,3,1,travel,0
3852,Green,3,1,property,0
3853,Yellow,3,1,auto,1
3854,Yellow,0,1,travel,1
3855,Green,1,1,life,1
3856,Yellow,0,1,property,1
3857,Yellow,0,1,property,1
3858,Yellow,1,1,auto,1
3859,Green,3,1,auto,1
3860,Yellow,2,1,travel,0
3861,Yellow,2,1,travel,0
3862,Yellow,0,1,property,0
3863,Yellow,1,1,auto,1
3864,Yellow,0,1,auto,1
3865,Yellow,3,1,property,0
3866,Green,3,1,property,0
3867,Green,1,1,auto,1
3868,Yellow,1,1,life,1
3869,Yellow,4,1,travel,1
3870,Yellow,1,1,property,1
3871,Red,4,1,travel,1
3872,Yellow,2,1,auto,1
3873,Yellow,0,1,life,1
3874,Red,0,1,travel,1
3875,Yellow,2,0,property,1
3876,Yellow,0,1,property,1
3877,Green,2,1,life,1
3878,Green,0,1,auto,1
3879,Yellow,2,1,life,1
3880,Green,3,0,property,1
3881,Green,0,1,property,1
3882,Yellow,3,1,auto,1
3883,Yellow,4,1,auto,1
3884,Yellow,3,0,property,1
3885,Green,1,1,life,1
3886,Green,1,1,travel,1
3887,Yellow,2,1,auto,1
3888,Yellow,3,1,property,1
3889,Yellow,1,1,travel,0
3890,Yellow,1,1,auto,1
3891,Yellow,0,1,travel,1
3892,Yellow,1,0,auto,1
3893,Red,1,0,travel,1
3894,Green,0,0,property,1
3895,Yellow,4,1,auto,1
3896,Green,4,1,life,1
3897,Green,4,1,property,1
3898,Green,0,1,auto,1
3899,Yellow,4,1,travel,0
3900,Yellow,4,1,auto,1
3901,Yellow,4,1,auto,1
3902,Yellow,0,1,auto,1
3903,Yellow,4,1,auto,1
3904,Green,1,1,auto,1
3905,Green,0,1,auto,1
3906,Yellow,0,0,auto,1
3907,Green,0,1,auto,1
3908,Red,1,1,property,1
3909,Green,0,1,property,0
3910,Yellow,4,1,life,1
3911,Yellow,0,1,auto,1
3912,Green,0,1,travel,0
3913,Green,3,1,auto,1
3914,Yellow,1,1,property,0
3915,Yellow,3,1,travel,0
3916,Green,4,1,property,1
3917,Green,3,1,travel,0
3918,Red,2,1,travel,1
3919,Green,2,0,property,1
3920,Yellow,1,1,auto,1
3921,Yellow,4,1,auto,1
3922,Yellow,4,1,auto,1
3923,Red,0,0,property,1
3924,Yellow,4,0,auto,1
3925,Green,4,1,property,1
3926,Yellow,1,1,auto,1
3927,Green,1,1,auto,1
3928,Yellow,0,1,auto,1
3929,Yellow,4,1,property,1
3930,Red,0,1,travel,1
3931,Red,3,1,property,1
3932,Red,1,1,travel,1
3933,Green,1,1,auto,1
3934,Yellow,2,0,life,1
3935,Yellow,4,0,travel,1
3936,Yellow,0,1,auto,1
3937,Yellow,3,1,auto,1
3938,Green,2,1,property,1
3939,Yellow,2,0,property,1
3940,Green,0,1,property,1
3941,Yellow,2,1,travel,1
3942,Red,1,1,travel,1
3943,Green,3,0,life,1
3944,Yellow,4,1,auto,1
3945,Green,0,1,property,1
3946,Red,3,1,property,1
3947,Green,2,1,travel,1
3948,Green,4,1,travel,1
3949,Yellow,1,1,life,1
3950,Yellow,1,0,property,1
3951,Yellow,1,1,property,1
3952,Green,4,1,other,1
3953,Yellow,1,0,property,1
3954,Yellow,2,1,auto,1
3955,Yellow,2,0,auto,1
3956,Yellow,3,1,travel,1
3957,Yellow,4,1,travel,0
3958,Yellow,3,1,travel,0
3959,Yellow,2,1,property,1
3960,Yellow,2,0,auto,1
3961,Yellow,2,1,travel,1
3962,Green,3,1,travel,0
3963,Yellow,0,0,property,1
3964,Yellow,4,1,auto,1
3965,Yellow,1,0,auto,1
3966,Green,2,1,property,0
3967,Yellow,4,1,travel,0
3968,Green,4,1,property,1
3969,Yellow,2,1,property,1
3970,Yellow,1,1,auto,1
3971,Green,3,1,auto,1
3972,Yellow,4,1,travel,1
3973,Yellow,3,1,life,1
3974,Yellow,4,1,auto,1
3975,Yellow,4,1,travel,0
3976,Green,2,1,auto,1
3977,Red,1,1,life,1
3978,Green,0,1,travel,1
3979,Yellow,1,1,auto,1
3980,Yellow,4,1,life,1
3981,Green,4,1,auto,1
3982,Yellow,1,0,life,1
3983,Green,3,1,travel,1
3984,Red,0,1,life,1
3985,Green,4,1,property,0
3986,Green,3,1,property,0
3987,Green,3,1,life,1
3988,Green,4,0,property,0
3989,Green,0,1,auto,1
3990,Yellow,1,1,life,1
3991,Yellow,0,1,auto,1
3992,Yellow,0,1,auto,1
3993,Yellow,3,1,travel,1
3994,Yellow,1,1,travel,0
3995,Yellow,4,1,auto,1
3996,Yellow,3,1,auto,1
3997,Yellow,4,1,auto,1
3998,Yellow,0,1,travel,0
3999,Green,1,1,life,1
4000,Yellow,3,1,property,1
4001,Yellow,1,1,auto,1
4002,Green,4,1,life,1
4003,Green,2,1,auto,1
4004,Green,4,1,auto,1
4005,Yellow,3,1,property,0
4006,Yellow,3,1,auto,1
4007,Yellow,4,1,travel,1
4008,Yellow,2,1,auto,1
4009,Yellow,4,0,life,1
4010,Yellow,2,1,property,1
4011,Green,1,1,property,1
4012,Green,0,1,auto,1
4013,Yellow,2,0,travel,1
4014,Yellow,1,1,auto,1
4015,Yellow,1,1,auto,1
4016,Yellow,2,1,auto,1
4017,Yellow,0,1,property,1
4018,Yellow,2,1,auto,1
4019,Green,0,1,property,1
4020,Yellow,4,1,auto,1
4021,Yellow,1,1,property,1
4022,Yellow,2,1,travel,0
4023,Red,0,1,life,1
4024,Yellow,0,1,auto,1
4025,Yellow,2,1,travel,1
4026,Yellow,3,1,auto,1
4027,Yellow,3,0,auto,1
4028,Green,3,1,auto,1
4029,Yellow,0,1,property,1
4030,Yellow,2,1,travel,1
4031,Green,0,1,life,1
4032,Yellow,0,1,auto,1
4033,Yellow,2,1,travel,1
4034,Yellow,3,1,life,1
4035,Yellow,2,1,travel,1
4036,Yellow,1,0,auto,1
4037,Yellow,3,1,travel,1
4038,Yellow,3,1,property,1
4039,Yellow,2,0,travel,1
4040,Yellow,0,0,property,1
4041,Yellow,3,1,auto,1
4042,Yellow,3,1,auto,1
4043,Yellow,4,1,travel,0
4044,Red,0,1,travel,1
4045,Yellow,2,1,auto,1
4046,Yellow,2,1,property,1
4047,Green,4,1,property,0
4048,Yellow,1,1,life,1
4049,Yellow,3,0,auto,1
4050,Yellow,1,0,life,1
4051,Yellow,4,1,travel,1
4052,Yellow,0,0,auto,1
4053,Yellow,1,0,life,1
4054,Yellow,4,0,property,1
4055,Green,3,0,property,1
4056,Green,3,0,property,1
4057,Yellow,2,1,auto,1
4058,Yellow,1,1,auto,1
4059,Yellow,4,1,travel,1
4060,Yellow,2,0,property,1
4061,Yellow,1,1,life,1
4062,Yellow,1,1,auto,1
4063,Yellow,2,0,travel,1
4064,Yellow,4,1,property,1
4065,Yellow,4,1,travel,1
4066,Green,3,1,travel,1
4067,Yellow,4,1,auto,1
4068,Yellow,4,1,travel,0
4069,Yellow,3,0,auto,1
4070,Red,4,1,property,1
4071,Green,2,1,travel,0
4072,Yellow,3,1,auto,1
4073,Yellow,0,1,life,1
4074,Yellow,2,0,property,1
4075,Green,1,1,travel,1
4076,Green,0,1,auto,1
4077,Red,1,1,travel,1
4078,Green,4,1,auto,1
4079,Red,4,1,travel,0
4080,Green,0,1,auto,1
4081,Yellow,3,1,travel,1
4082,Yellow,0,1,travel,1
4083,Yellow,2,1,life,1
4084,Green,3,1,property,0
4085,Yellow,1,1,travel,0
4086,Green,2,0,auto,1
4087,Green,4,1,property,1
4088,Yellow,3,1,auto,1
4089,Yellow,1,1,property,0
4090,Yellow,1,1,auto,1
4091,Yellow,1,1,travel,0
4092,Yellow,2,1,property,1
4093,Yellow,1,1,auto,1
4094,Yellow,1,1,auto,1
4095,Yellow,3,1,property,1
4096,Yellow,3,0,property,1
4097,Yellow,1,1,property,1
4098,Green,4,1,property,1
4099,Green,0,1,property,1
4100,Green,3,1,property,1
4101,Yellow,0,1,auto,1
4102,Yellow,0,1,property,1
4103,Green,4,1,life,1
4104,Yellow,3,1,auto,0
4105,Yellow,2,1,auto,1
4106,Yellow,2,0,auto,1
4107,Green,4,1,auto,1
4108,Yellow,4,1,auto,1
4109,Green,1,1,travel,1
4110,Yellow,1,1,travel,1
4111,Yellow,2,1,property,1
4112,Yellow,2,1,property,0
4113,Yellow,2,1,auto,1
4114,Yellow,1,1,life,1
4115,Yellow,1,1,property,0
4116,Yellow,2,1,property,1
4117,Yellow,3,1,property,1
4118,Green,3,1,life,1
4119,Yellow,4,0,travel,1
4120,Yellow,2,1,auto,1
4121,Yellow,1,1,travel,0
4122,Yellow,1,0,property,0
4123,Yellow,1,1,auto,1
4124,Green,2,0,property,1
4125,Red,3,1,property,0
4126,Yellow,2,1,property,1
4127,Yellow,3,1,travel,0
4128,Yellow,4,1,property,1
4129,Yellow,4,1,life,1
4130,Green,0,1,property,1
4131,Yellow,4,1,auto,0
4132,Yellow,0,1,property,1
4133,Yellow,1,1,auto,1
4134,Red,2,1,travel,1
4135,Yellow,4,1,travel,0
4136,Yellow,0,1,travel,1
4137,Yellow,2,1,travel,1
4138,Yellow,3,1,auto,1
4139,Yellow,4,1,property,1
4140,Yellow,2,1,property,0
4141,Yellow,4,1,auto,1
4142,Green,4,1,life,1
4143,Yellow,2,1,property,0
4144,Yellow,0,1,travel,1
4145,Red,1,0,property,1
4146,Yellow,1,1,life,1
4147,Yellow,1,0,property,1
4148,Yellow,3,1,travel,1
4149,Red,2,1,travel,1
4150,Yellow,2,1,property,1
4151,Yellow,0,1,auto,1
4152,Yellow,0,1,auto,1
4153,Red,3,0,auto,1
4154,Yellow,0,1,auto,1
4155,Yellow,4,1,travel,1
4156,Yellow,0,1,auto,1
4157,Green,1,1,auto,1
4158,Yellow,3,1,property,1
4159,Yellow,1,1,life,1
4160,Yellow,1,1,life,1
4161,Yellow,0,1,auto,0
4162,Yellow,2,1,life,1
4163,Yellow,4,1,auto,1
4164,Yellow,1,1,life,1
4165,Red,3,0,property,1
4166,Red,4,1,life,1
4167,Yellow,3,1,auto,1
4168,Green,2,1,property,1
4169,Yellow,4,1,life,1
4170,Yellow,3,0,auto,1
4171,Yellow,0,0,travel,1
4172,Green,2,1,property,1
4173,Yellow,0,0,property,1
4174,Green,3,1,travel,0
4175,Yellow,3,1,auto,1
4176,Green,3,1,auto,1
4177,Green,2,1,property,1
4178,Green,1,1,auto,1
4179,Yellow,2,1,auto,1
4180,Green,2,1,life,1
4181,Yellow,1,1,property,1
4182,Green,3,1,property,1
4183,Yellow,4,1,auto,1
4184,Red,1,0,property,1
4185,Yellow,0,0,travel,0
4186,Yellow,4,1,travel,0
4187,Yellow,3,1,auto,1
4188,Green,0,1,auto,1
4189,Yellow,1,1,travel,1
4190,Yellow,1,1,property,0
4191,Yellow,1,0,travel,0
4192,Yellow,3,1,property,1
4193,Yellow,3,1,life,1
4194,Yellow,4,1,auto,1
4195,Yellow,1,1,life,1
4196,Red,1,0,auto,1
4197,Yellow,3,1,auto,1
4198,Yellow,1,1,life,1
4199,Yellow,3,1,property,0
4200,Yellow,3,1,auto,1
4201,Yellow,1,1,property,1
4202,Green,4,1,property,1
4203,Green,1,0,auto,1
4204,Green,4,1,auto,1
4205,Green,2,1,auto,1
4206,Yellow,1,1,life,1
4207,Yellow,1,0,travel,0
4208,Green,4,1,auto,1
4209,Yellow,4,1,auto,1
4210,Yellow,2,1,property,1
4211,Yellow,2,1,property,1
4212,Green,3,1,auto,1
4213,Green,3,1,travel,0
4214,Green,0,1,travel,1
4215,Yellow,4,1,property,1
4216,Green,2,1,auto,1
4217,Green,1,0,property,1
4218,Yellow,1,1,life,1
4219,Yellow,0,1,property,0
4220,Yellow,4,1,auto,1
4221,Yellow,1,1,property,1
4222,Green,4,1,auto,1
4223,Yellow,4,1,auto,1
4224,Red,1,0,property,1
4225,Yellow,0,1,life,1
4226,Yellow,3,1,property,1
4227,Yellow,1,1,auto,1
4228,Green,4,0,property,1
4229,Green,1,1,auto,1
4230,Yellow,2,0,property,1
4231,Green,3,1,auto,1
4232,Yellow,0,1,property,1
4233,Green,4,1,life,1
4234,Yellow,3,1,travel,1
4235,Yellow,0,0,auto,1
4236,Yellow,3,1,property,1
4237,Yellow,2,1,travel,0
4238,Green,0,1,auto,1
4239,Yellow,0,1,auto,1
4240,Yellow,0,1,travel,0
4241,Yellow,0,1,travel,1
4242,Yellow,3,1,auto,1
4243,Green,1,1,property,1
4244,Yellow,4,1,auto,1
4245,Yellow,4,1,property,1
4246,Red,3,1,travel,1
4247,Yellow,4,1,life,1
4248,Green,0,1,auto,1
4249,Red,4,1,travel,1
4250,Yellow,0,1,travel,1
4251,Yellow,4,1,auto,1
4252,Yellow,2,1,life,1
4253,Yellow,3,1,property,0
4254,Yellow,1,1,life,1
4255,Yellow,1,1,auto,1
4256,Yellow,1,1,life,1
4257,Green,3,1,auto,1
4258,Yellow,1,1,auto,1
4259,Yellow,2,1,auto,1
4260,Yellow,0,1,property,1
4261,Green,2,1,auto,1
4262,Green,4,1,auto,1
4263,Yellow,1,1,travel,1
4264,Green,4,1,auto,1
4265,Yellow,4,1,auto,1
4266,Yellow,1,1,travel,1
4267,Green,4,1,travel,0
4268,Yellow,0,0,travel,1
4269,Yellow,0,1,travel,1
4270,Yellow,3,1,life,1
4271,Yellow,0,0,property,0
4272,Yellow,1,1,travel,0
4273,Yellow,4,1,travel,1
4274,Yellow,3,1,travel,0
4275,Red,4,1,travel,1
4276,Green,0,1,auto,1
4277,Yellow,1,1,property,1
4278,Yellow,1,1,property,1
4279,Green,1,1,property,1
4280,Green,1,1,life,1
4281,Yellow,3,1,travel,1
4282,Yellow,4,1,travel,0
4283,Green,4,1,travel,0
4284,Yellow,1,1,auto,1
4285,Yellow,2,1,travel,1
4286,Yellow,1,1,life,1
4287,Yellow,4,0,travel,0
4288,Yellow,3,1,travel,1
4289,Yellow,2,1,life,1
4290,Yellow,4,1,life,1
4291,Green,0,1,auto,1
4292,Yellow,3,1,auto,1
4293,Yellow,2,1,auto,1
4294,Yellow,3,1,auto,1
4295,Red,4,1,life,1
4296,Yellow,2,1,property,1
4297,Yellow,2,0,auto,1
4298,Yellow,4,1,property,0
4299,Yellow,1,1,travel,1
4300,Green,1,1,auto,1
4301,Yellow,0,1,auto,1
4302,Yellow,1,1,auto,1
4303,Green,0,0,auto,1
4304,Green,4,1,property,1
4305,Yellow,0,1,property,1
4306,Yellow,1,1,auto,1
4307,Yellow,4,1,travel,0
4308,Yellow,2,1,travel,1
4309,Yellow,3,1,travel,0
4310,Green,1,1,auto,1
4311,Yellow,4,1,life,1
4312,Yellow,1,1,property,0
4313,Yellow,2,1,auto,1
4314,Yellow,1,1,property,1
4315,Yellow,0,1,property,1
4316,Red,4,0,travel,0
4317,Green,1,1,auto,1
4318,Green,3,0,auto,1
4319,Green,2,1,auto,1
4320,Green,2,1,auto,1
4321,Red,2,1,travel,1
4322,Yellow,0,0,property,1
4323,Yellow,3,1,auto,1
4324,Yellow,1,1,life,1
4325,Yellow,1,0,auto,1
4326,Yellow,4,1,auto,1
4327,Yellow,2,1,life,1
4328,Yellow,2,1,auto,1
4329,Green,4,0,travel,1
4330,Green,1,1,property,0
4331,Yellow,2,1,auto,1
4332,Yellow,2,1,auto,1
4333,Yellow,2,1,travel,1
4334,Yellow,0,1,travel,1
4335,Yellow,0,1,property,1
4336,Red,3,1,travel,1
4337,Yellow,2,0,property,1
4338,Red,1,1,travel,0
